Gene	GliNS1	G144	G166	G179	CB541	CB660
FLJ00012	3	1	5	0	0	3
FLJ00060	7	5	9	4	3	0
FLJ00193	0	0	5	21	0	7
FLJ00310	0	0	0	0	0	1
FLJ00312	0	0	2	2	0	0
FLJ10006	65	109	167	27	83	76
FLJ10036	0	1	12	15	0	8
FLJ10038	3	1	14	0	7	10
FLJ10081	81	100	203	296	260	95
FLJ10094	14	17	0	17	13	6
FLJ10099	376	289	658	799	701	250
FLJ10116	12	11	15	107	18	16
FLJ10134	44	67	56	27	17	30
FLJ10154	101	95	172	16	97	74
FLJ10156	72	35	561	0	226	199
FLJ10157	2	3	2	0	10	6
FLJ10159	126	67	1	76	14	44
FLJ10178	2	0	0	0	1	0
FLJ10204	9	10	41	1	13	11
FLJ10211	9	13	4	0	10	1
FLJ10213	2	0	1	0	0	1
FLJ10233	13	2	16	10	6	6
FLJ10241	21	18	35	10	11	24
FLJ10246	0	0	1	0	0	1
FLJ10260	2	4	15	36	105	42
FLJ10276	1	0	31	0	0	1
FLJ10287	16	15	44	29	25	22
FLJ10292	52	36	141	33	126	42
FLJ10300	2	0	3	7	1	2
FLJ10305	0	1	0	6	8	4
FLJ10307	0	3	20	23	44	10
FLJ10324	74	45	21	134	0	17
FLJ10326	8	11	21	6	70	23
FLJ10330	137	126	378	714	500	190
FLJ10349	5	5	21	12	17	9
FLJ10350	15	5	38	5	54	19
FLJ10357	136	121	73	167	128	133
FLJ10359	16	15	41	46	38	30
FLJ10374	7	5	46	1	15	4
FLJ10375	2	2	11	4	3	3
FLJ10378	12	10	83	34	33	17
FLJ10379	76	101	59	424	304	143
FLJ10385	1	0	10	0	0	0
FLJ10404	58	38	70	0	39	49
FLJ10407	34	40	53	27	109	57
FLJ10408	0	0	0	7	0	0
FLJ10415	1	0	3	4	0	1
FLJ10420	1	0	6	1	1	5
FLJ10439	2	3	1	0	0	0
FLJ10458	12	8	25	11	20	16
FLJ10489	14	23	8	0	5	8
FLJ10504	10	10	56	32	34	11
FLJ10514	14	18	47	76	31	19
FLJ10521	0	0	0	0	2	2
FLJ10534	38	40	103	89	36	44
FLJ10539	6	9	12	34	19	6
FLJ10546	16	9	27	53	10	9
FLJ10560	12	3	17	2	0	0
FLJ10569	40	42	168	75	45	15
FLJ10579	0	0	5	1	7	2
FLJ10587	3	1	13	1	3	3
FLJ10597	38	25	69	31	107	100
FLJ10618	19	8	96	65	66	50
FLJ10634	1	0	3	0	0	0
FLJ10647	0	0	5	0	0	3
FLJ10652	5	2	30	0	31	5
FLJ10661	2	0	5	1	1	0
FLJ10665	0	0	2	5	0	0
FLJ10700	210	213	105	52	334	82
FLJ10706	7	10	7	7	53	7
FLJ10707	57	29	217	117	131	84
FLJ10719	35	28	83	54	95	78
FLJ10726	114	102	207	242	165	166
FLJ10747	2	0	1	0	0	0
FLJ10748	185	105	42	10	32	77
FLJ10769	92	159	333	530	1255	128
FLJ10774	1	2	2	0	0	0
FLJ10781	370	536	379	381	1723	636
FLJ10786	0	0	0	5	0	1
FLJ10803	289	233	3008	446	337	551
FLJ10808	57	51	123	162	103	53
FLJ10815	76	25	16	13	15	11
FLJ10824	3	2	7	6	5	16
FLJ10826	60	44	387	118	458	107
FLJ10847	55	56	59	15	8	3
FLJ10853	9	22	25	72	12	5
FLJ10858	14	31	298	104	43	30
FLJ10871	6	2	1	4	0	3
FLJ10874	14	14	43	70	28	8
FLJ10891	1	2	3	7	0	0
FLJ10901	0	0	0	0	0	2
FLJ10916	0	0	8	0	4	1
FLJ10922	22	15	41	5	0	16
FLJ10925	70	22	67	28	62	51
FLJ10945	46	28	77	114	19	13
FLJ10970	5	3	0	3	0	0
FLJ10979	37	35	49	52	49	52
FLJ10980	3	0	4	0	5	9
FLJ10986	31	30	148	108	84	82
FLJ10996	65	39	140	263	87	124
FLJ11000	15	26	21	49	11	20
FLJ11011	14	8	41	28	68	10
FLJ11016	16	17	112	72	62	47
FLJ11017	20	13	2	1	6	2
FLJ11021	170	168	646	541	449	174
FLJ11029	52	40	266	8	8	9
FLJ11046	12	14	49	36	69	32
FLJ11078	7	0	9	0	0	12
FLJ11088	7	8	21	11	8	9
FLJ11127	0	1	4	0	0	3
FLJ11142	4	6	5	5	2	4
FLJ11151	30	122	161	37	68	23
FLJ11155	0	0	14	10	0	1
FLJ11171	92	83	121	294	260	236
FLJ11184	64	67	129	148	61	96
FLJ11193	155	91	405	399	812	163
FLJ11196	3	1	16	3	7	6
FLJ11200	148	212	183	243	256	155
FLJ11259	18	19	283	310	126	16
FLJ11267	11	7	28	11	3	21
FLJ11273	31	42	74	75	61	30
FLJ11280	45	38	118	14	37	57
FLJ11286	10	5	49	8	17	10
FLJ11292	7	5	0	0	1	0
FLJ11301	12	1	16	5	22	11
FLJ11305	9	5	10	30	41	12
FLJ11331	4	6	2	1	13	1
FLJ11336	17	18	28	7	9	7
FLJ11342	114	134	443	447	318	261
FLJ11457	8	1	6	13	9	9
FLJ11506	47	82	159	149	293	106
FLJ11535	0	0	2	0	1	1
FLJ11539	16	5	16	5	14	13
FLJ11588	10	10	0	3	1	7
FLJ11712	48	71	165	182	93	31
FLJ11730	57	24	130	135	93	117
FLJ11749	2	1	1	3	9	3
FLJ11752	1	1	5	0	4	4
FLJ11767	0	0	0	0	0	3
FLJ11773	5	5	6	8	6	6
FLJ11783	1	3	2	0	0	1
FLJ11795	1	6	0	0	23	4
FLJ11800	1	0	1	0	2	0
FLJ11806	80	74	200	260	176	83
FLJ11838	1	1	15	5	0	4
FLJ11848	51	118	15	69	11	11
FLJ11850	8	9	19	11	32	9
FLJ11996	3	0	6	1	3	0
FLJ12056	1	2	3	1	0	1
FLJ12057	4	9	1	0	59	96
FLJ12118	113	136	261	283	399	134
FLJ12242	1	3	1	2	2	2
FLJ12270	14	13	23	7	65	19
FLJ12355	0	1	4	0	0	0
FLJ12438	32	4	42	0	0	8
FLJ12439	32	16	63	98	31	25
FLJ12442	37	28	42	34	22	21
FLJ12443	28	7	58	7	91	41
FLJ12448	8	6	14	0	4	2
FLJ12476	0	0	2	3	0	1
FLJ12505	12	9	12	81	11	65
FLJ12517	15	9	28	3	26	7
FLJ12519	5	2	3	12	3	4
FLJ12525	13	6	12	0	12	13
FLJ12529	164	118	142	140	125	117
FLJ12571	2	5	2	1	9	9
FLJ12572	10	7	30	39	16	30
FLJ12584	16	12	6	9	10	15
FLJ12586	0	0	3	12	0	0
FLJ12587	1	0	1	0	1	0
FLJ12592	5	0	6	2	1	1
FLJ12595	0	0	3	0	0	0
FLJ12604	0	0	2	0	20	3
FLJ12606	2	0	16	4	16	3
FLJ12610	5	4	3	0	21	17
FLJ12644	16	16	8	4	10	15
FLJ12649	8	3	39	15	22	9
FLJ12650	2	3	0	1	0	0
FLJ12666	97	44	143	72	158	342
FLJ12671	15	10	34	19	26	16
FLJ12681	14	13	11	36	69	21
FLJ12684	0	0	11	0	0	3
FLJ12688	21	28	20	31	34	28
FLJ12700	4	4	20	1	1	12
FLJ12716	35	30	134	105	39	97
FLJ12735	20	16	78	94	18	36
FLJ12748	20	25	12	36	70	25
FLJ12750	3	4	4	0	0	4
FLJ12760	14	8	39	15	3	4
FLJ12770	2	0	2	0	0	0
FLJ12787	10	17	81	33	0	9
FLJ12788	28	38	40	10	5	33
FLJ12800	3	2	20	0	0	5
FLJ12806	57	48	352	453	482	151
FLJ12875	3	1	13	20	5	2
FLJ12886	1892	1275	5041	5322	3708	3478
FLJ12892	30	25	73	201	51	52
FLJ12895	2	0	3	11	0	15
FLJ12903	3	2	3	1	13	10
FLJ12949	235	303	538	351	217	123
FLJ12953	1	0	4	1	0	0
FLJ12973	16	22	62	22	42	32
FLJ12975	12	4	29	5	18	23
FLJ12985	13	11	7	13	5	13
FLJ12986	3	3	21	9	2	6
FLJ12994	11	10	15	9	180	49
FLJ12998	62	46	90	75	68	76
FLJ13052	56	48	85	96	87	37
FLJ13089	9	27	25	24	7	15
FLJ13096	34	22	66	142	78	24
FLJ13111	4	2	2	1	0	1
FLJ13150	3	3	7	1	6	5
FLJ13154	5	1	4	7	25	10
FLJ13195	96	95	467	347	258	275
FLJ13197	3	1	1	7	3	20
FLJ13213	1	3	13	13	0	1
FLJ13220	22	13	54	12	20	13
FLJ13231	24	21	59	95	102	44
FLJ13236	18	14	42	46	37	12
FLJ13265	0	2	1	0	0	0
FLJ13273	58	42	35	170	90	50
FLJ13291	33	23	132	131	134	64
FLJ13305	5	11	16	0	2	11
FLJ13373	0	0	1	0	0	0
FLJ13391	5	26	83	260	3	9
FLJ13448	17	15	68	98	56	21
FLJ13456	108	110	265	245	104	224
FLJ13479	0	1	0	0	0	0
FLJ13576	21	23	23	13	34	22
FLJ13611	210	266	350	114	272	129
FLJ13614	63	58	66	33	35	38
FLJ13639	3	2	11	0	14	13
FLJ13646	5	5	2	5	24	19
FLJ13710	0	3	0	0	0	4
FLJ13725	3	2	14	0	2	2
FLJ13798	4	2	7	0	1	3
FLJ13815	0	0	4	0	17	1
FLJ13842	0	1	0	0	6	0
FLJ13848	59	50	91	119	66	64
FLJ13855	20	25	61	25	31	17
FLJ13868	0	1	2	0	2	4
FLJ13910	316	322	474	390	563	256
FLJ13912	11	1	31	24	13	30
FLJ13941	11	22	42	91	50	35
FLJ13946	11	9	30	40	29	32
FLJ13955	0	0	2	9	1	2
FLJ13984	15	18	21	29	21	15
FLJ14001	49	37	137	29	22	32
FLJ14007	13	24	136	79	74	28
FLJ14011	29	14	53	27	40	23
FLJ14054	0	0	25	30	0	16
FLJ14075	37	22	61	99	67	141
FLJ14082	3	2	17	7	2	8
FLJ14129	19	4	36	52	45	12
FLJ14146	0	0	0	0	2	0
FLJ14153	29	26	25	25	34	30
FLJ14154	180	183	339	349	776	157
FLJ14166	19	19	7	23	59	18
FLJ14213	378	308	1812	1145	785	970
FLJ14249	20	10	2	0	11	7
FLJ14281	17	23	96	24	49	65
FLJ14297	17	13	23	13	48	20
FLJ14299	1	0	10	0	4	2
FLJ14345	8	5	7	15	13	9
FLJ14346	1754	1522	11929	5909	5698	2389
FLJ14351	1	2	3	0	0	0
FLJ14397	0	1	0	0	0	0
FLJ14442	1	0	0	0	0	0
FLJ14451	3	2	9	2	7	4
FLJ14466	75	56	185	144	68	45
FLJ14490	0	0	2	0	0	2
FLJ14494	33	28	11	14	8	20
FLJ14503	0	0	1	0	3	1
FLJ14525	8	6	34	0	32	19
FLJ14566	5	0	0	0	0	3
FLJ14624	113	90	142	302	286	143
FLJ14627	20	27	24	16	11	21
FLJ14640	36	46	79	39	217	127
FLJ14668	95	156	434	365	350	194
FLJ14681	11	30	30	30	29	19
FLJ14712	0	0	15	6	0	2
FLJ14753	39	19	99	14	64	30
FLJ14768	79	71	34	8	53	68
FLJ14775	31	29	159	61	42	34
FLJ14800	4	5	6	0	11	2
FLJ14803	226	206	763	612	283	375
FLJ14816	0	0	0	0	0	4
FLJ14825	1	3	6	1	1	1
FLJ14827	0	2	1	0	0	0
FLJ14888	8	5	19	3	36	23
FLJ14936	65	80	91	56	87	59
FLJ14959	4	7	23	7	0	4
FLJ14966	0	0	1	0	0	0
FLJ14981	79	57	30	12	119	70
FLJ16008	22	16	0	11	24	14
FLJ16124	1888	1274	5063	5317	3702	3470
FLJ16165	0	0	1	0	0	0
FLJ16171	2	0	2	2	0	1
FLJ16231	10	3	24	24	4	11
FLJ16237	11	6	1	4	0	2
FLJ16287	18	17	55	9	20	19
FLJ16517	0	0	0	0	12	19
FLJ16518	29	51	30	11	27	11
FLJ16542	11	17	20	13	18	13
FLJ16636	0	12	8	3	2	5
FLJ16641	2	0	1	0	0	0
FLJ20010	19	36	36	27	40	24
FLJ20013	25	17	10	31	46	19
FLJ20032	1	0	10	0	0	3
FLJ20035	0	0	58	127	0	20
FLJ20054	2	3	40	25	0	12
FLJ20097	88	169	117	296	312	89
FLJ20105	0	11	24	5	8	6
FLJ20125	8	4	69	34	24	18
FLJ20130	0	1	0	1	1	0
FLJ20152	687	693	68	84	0	2
FLJ20156	11	3	19	9	32	28
FLJ20160	78	82	166	130	123	18
FLJ20171	4	4	8	8	24	11
FLJ20184	1	0	0	1	0	2
FLJ20186	124	58	268	98	261	179
FLJ20195	8	8	68	2	33	11
FLJ20200	5	4	9	3	3	3
FLJ20203	2	0	6	0	3	4
FLJ20209	7	4	10	10	17	7
FLJ20211	21	11	44	15	71	16
FLJ20232	35	18	37	41	33	30
FLJ20241	30	21	25	3	3	1
FLJ20244	0	1	6	0	0	0
FLJ20245	0	1	28	133	173	49
FLJ20254	39	20	137	14	45	32
FLJ20255	9	1	0	1	2	4
FLJ20257	18	18	19	4	13	9
FLJ20259	84	124	271	49	109	101
FLJ20272	15	5	16	30	27	21
FLJ20273	1	0	38	19	26	3
FLJ20277	13	6	19	22	66	56
FLJ20280	137	70	163	123	102	127
FLJ20291	9	10	61	0	0	0
FLJ20294	4659	3227	13716	5652	6089	9614
FLJ20297	55	42	120	130	93	223
FLJ20298	6	11	2	2	9	2
FLJ20308	55	18	170	5	47	23
FLJ20309	30	51	175	219	204	131
FLJ20313	5	0	0	0	0	6
FLJ20315	1	1	0	0	0	1
FLJ20321	0	0	7	0	2	0
FLJ20323	155	205	431	205	234	106
FLJ20331	36	36	26	77	104	30
FLJ20344	34	41	109	53	54	58
FLJ20345	4	2	8	8	0	4
FLJ20364	71	78	490	489	128	200
FLJ20366	5	14	122	1458	590	138
FLJ20397	118	109	689	1196	733	210
FLJ20406	0	0	4	0	0	0
FLJ20422	49	21	186	51	44	72
FLJ20433	52	37	409	235	327	301
FLJ20436	6	6	4	6	7	1
FLJ20444	1	5	0	29	22	3
FLJ20449	11	11	59	2	28	9
FLJ20457	0	2	8	2	4	0
FLJ20481	49	22	163	18	47	36
FLJ20485	26	19	25	32	34	12
FLJ20487	78	23	91	2	60	33
FLJ20489	11	3	41	5	5	12
FLJ20507	64	44	22	63	134	48
FLJ20508	6	2	33	27	28	37
FLJ20512	499	238	350	31	203	174
FLJ20516	11	22	45	28	30	20
FLJ20519	7	3	45	58	41	24
FLJ20530	2	0	12	9	4	0
FLJ20531	0	0	3	0	1	0
FLJ20533	48	20	200	144	39	77
FLJ20534	46	61	349	121	284	161
FLJ20542	7	2	23	1	17	5
FLJ20551	46	27	158	6	41	28
FLJ20558	13	11	26	11	8	5
FLJ20580	35	29	134	82	80	65
FLJ20581	2	5	0	0	0	0
FLJ20582	138	147	569	487	383	419
FLJ20584	1	0	4	0	0	1
FLJ20604	1	0	2	0	0	0
FLJ20605	3	2	3	1	1	3
FLJ20618	97	71	52	116	185	95
FLJ20625	289	155	580	234	758	361
FLJ20626	1	4	2	1	0	0
FLJ20628	31	44	63	52	62	30
FLJ20641	5	3	21	10	4	7
FLJ20643	96	67	67	26	131	51
FLJ20647	117	43	1396	365	675	661
FLJ20674	39	21	73	114	21	29
FLJ20694	0	0	1	0	0	0
FLJ20699	29	38	36	68	35	41
FLJ20701	1873	2158	3846	1712	4099	1587
FLJ20716	8	3	6	0	0	0
FLJ20718	116	63	111	516	209	140
FLJ20719	26	20	75	135	70	71
FLJ20729	11	20	39	35	53	45
FLJ20753	8	9	4	2	1	3
FLJ20758	259	316	196	648	731	198
FLJ20772	5	2	3	8	0	3
FLJ20850	177	129	148	63	175	158
FLJ20859	18	16	60	25	26	14
FLJ20920	1	2	19	10	12	3
FLJ20972	9	6	13	28	6	12
FLJ20989	2	1	2	9	4	0
FLJ21019	2	0	1	0	9	0
FLJ21062	2	2	12	12	4	7
FLJ21075	0	0	1	0	0	0
FLJ21103	49	38	53	114	55	121
FLJ21106	19	24	146	57	21	19
FLJ21125	73	53	94	97	232	209
FLJ21127	25	25	88	150	86	74
FLJ21128	0	0	0	2	0	1
FLJ21144	0	0	0	2	16	2
FLJ21148	1	4	5	6	0	1
FLJ21156	2	0	12	2	1	4
FLJ21159	6	4	61	268	128	148
FLJ21168	39	18	326	222	142	66
FLJ21408	0	0	0	4	0	0
FLJ21415	1	1	2	3	2	1
FLJ21439	13	3	24	4	42	21
FLJ21616	92	130	158	7	43	4
FLJ21628	1	7	6	0	7	8
FLJ21657	3088	1708	3794	825	1529	1461
FLJ21687	1	5	5	4	0	1
FLJ21736	0	0	1	0	0	0
FLJ21742	39	25	22	20	42	25
FLJ21749	37	13	85	23	90	57
FLJ21767	7	10	30	1	3	5
FLJ21816	31	20	50	57	53	36
FLJ21820	35	19	53	64	110	47
FLJ21827	97	82	86	174	224	71
FLJ21839	33	26	75	43	115	56
FLJ21865	11	11	51	38	21	15
FLJ21901	27	42	49	71	59	31
FLJ21908	80	90	236	246	212	130
FLJ21918	22	24	36	5	50	23
FLJ21919	1	7	6	5	0	5
FLJ21924	27	12	139	179	129	144
FLJ21945	7	1	6	0	10	4
FLJ21963	43	54	55	595	125	23
FLJ21986	0	2	7	150	0	10
FLJ22028	179	350	531	270	215	226
FLJ22104	48	58	54	111	118	39
FLJ22170	0	1	0	3	0	0
FLJ22173	0	0	0	0	3	0
FLJ22175	4	0	3	0	1	0
FLJ22184	3	0	5	0	0	2
FLJ22222	83	49	127	59	29	103
FLJ22301	0	0	0	2	0	1
FLJ22313	198	194	328	420	253	186
FLJ22318	49	25	166	58	253	68
FLJ22349	0	1	8	0	0	0
FLJ22353	10	0	39	12	44	5
FLJ22374	12	0	7	3	12	4
FLJ22386	54	24	12	9	31	51
FLJ22390	1	4	4	0	6	0
FLJ22405	2	0	3	10	2	1
FLJ22419	3	1	25	61	0	1
FLJ22457	2	1	4	9	0	0
FLJ22471	64	67	107	53	36	40
FLJ22490	15	24	33	33	46	28
FLJ22531	19	10	28	8	34	20
FLJ22555	33	43	138	107	124	60
FLJ22573	0	0	2	0	0	0
FLJ22582	0	0	1	0	0	0
FLJ22624	17	12	46	64	8	23
FLJ22635	10	6	24	12	8	14
FLJ22639	7	3	27	0	0	2
FLJ22655	23	14	66	49	19	23
FLJ22662	10	3	62	16	1	0
FLJ22671	9	1	5	13	9	2
FLJ22679	37	23	63	50	152	126
FLJ22688	104	37	57	6	18	62
FLJ22709	59	39	148	65	49	43
FLJ22729	11	8	18	36	5	4
FLJ22746	0	0	2	0	0	0
FLJ22761	2	0	1	0	13	0
FLJ22789	0	0	0	0	0	1
FLJ22794	1	5	20	0	9	4
FLJ22795	72	90	369	184	634	137
FLJ22833	22	15	65	85	30	14
FLJ22875	3	4	11	3	5	6
FLJ22938	2	0	2	0	0	0
FLJ22955	15	10	23	1	10	7
FLJ22965	61	155	395	450	184	197
FLJ23033	7	0	3	0	0	2
FLJ23049	2	0	0	0	8	1
FLJ23091	204	149	44	94	17	183
FLJ23129	1	1	3	1	0	1
FLJ23152	0	0	3	0	0	4
FLJ23172	1	4	3	0	0	1
FLJ23186	0	0	1	0	0	0
FLJ23191	0	1	124	82	463	46
FLJ23221	0	4	0	0	0	0
FLJ23231	0	0	2	5	0	1
FLJ23235	1806	1185	3108	677	1161	1144
FLJ23263	2	0	0	0	0	0
FLJ23311	0	0	2	0	0	0
FLJ23322	75	71	131	711	283	118
FLJ23323	1	0	3	0	0	1
FLJ23342	17	9	25	72	22	44
FLJ23375	1	0	8	5	0	1
FLJ23436	18	9	34	5	35	6
FLJ23441	8	0	18	18	12	12
FLJ23447	9	5	7	0	0	5
FLJ23451	12	19	20	16	10	17
FLJ23469	6	4	1	0	0	1
FLJ23476	0	1	3	1	0	4
FLJ23506	1	1	1	0	3	0
FLJ23514	0	0	6	8	0	3
FLJ23518	105	113	164	307	277	166
FLJ23548	13	2	34	135	48	15
FLJ23554	0	1	7	1	0	1
FLJ23560	13	19	32	66	114	78
FLJ23569	3	0	2	0	5	0
FLJ23577	2	1	10	0	61	27
FLJ23584	4	0	3	4	0	2
FLJ23588	50	61	147	146	91	116
FLJ23657	1	0	3	2	15	1
FLJ23749	28	17	32	49	41	28
FLJ23754	6	6	22	13	15	6
FLJ23790	59	36	101	1090	286	107
FLJ23825	4	0	11	5	2	5
FLJ23834	3	0	5	0	0	0
FLJ23861	77	70	84	211	151	153
FLJ23867	5	3	26	103	37	15
FLJ23878	0	1	1	3	2	2
FLJ25006	37	30	101	72	84	43
FLJ25037	34	35	36	14	100	15
FLJ25056	1	0	0	0	0	1
FLJ25059	3	3	9	0	51	6
FLJ25067	12	15	18	42	43	7
FLJ25078	1	5	0	0	0	0
FLJ25102	2	1	5	6	0	3
FLJ25124	0	0	2	14	0	2
FLJ25179	0	0	2	0	0	1
FLJ25200	0	1	0	0	0	0
FLJ25222	121	62	278	91	247	204
FLJ25333	0	0	0	0	0	1
FLJ25339	0	0	0	6	0	0
FLJ25371	44	35	17	0	10	28
FLJ25393	0	0	0	0	0	1
FLJ25404	1	1	0	0	0	0
FLJ25415	1	0	5	1	5	1
FLJ25416	19	41	42	18	16	17
FLJ25421	14	13	14	4	2	7
FLJ25422	0	0	1	0	2	1
FLJ25439	3	0	0	0	2	4
FLJ25444	0	0	5	0	0	0
FLJ25467	2	0	4	2	9	3
FLJ25476	55	32	28	66	10	51
FLJ25477	12	10	0	0	0	17
FLJ25530	62	34	0	3	0	0
FLJ25555	6	0	6	0	0	0
FLJ25692	14	3	30	12	0	16
FLJ25715	3	1	2	4	0	1
FLJ25756	6	19	30	150	81	59
FLJ25770	0	1	1	0	0	4
FLJ25778	17	2	15	11	8	4
FLJ25791	0	1	0	1	0	0
FLJ25801	11	14	23	0	24	16
FLJ25818	2	4	1	0	0	0
FLJ25917	0	0	0	0	0	1
FLJ25952	4	2	15	12	41	64
FLJ25976	1	4	4	17	2	6
FLJ25989	0	0	0	2	0	0
FLJ26175	35	40	43	17	40	14
FLJ26850	3	0	0	0	0	1
FLJ27352	1	0	10	0	17	2
FLJ27354	16	22	10	20	0	4
FLJ27365	4	0	1	2	0	0
FLJ30046	499	507	77	285	644	108
FLJ30092	71	33	121	136	212	73
FLJ30294	8	7	16	18	7	19
FLJ30313	1	0	0	1	1	6
FLJ30435	6	2	16	84	21	15
FLJ30469	3	2	4	11	2	7
FLJ30594	50	35	0	5	0	1
FLJ30596	28	31	77	171	76	54
FLJ30655	99	116	228	165	16	68
FLJ30656	46	55	364	164	171	66
FLJ30672	0	0	0	0	1	0
FLJ30679	16	9	12	16	12	3
FLJ30707	3	1	9	0	3	1
FLJ30719	0	0	0	0	1	0
FLJ30726	0	2	3	0	0	1
FLJ30851	25	24	95	78	17	81
FLJ30934	47	29	4	0	1	17
FLJ30990	0	3	7	0	0	3
FLJ31031	20	11	85	20	71	20
FLJ31033	4	14	23	43	29	12
FLJ31052	1	0	0	0	0	0
FLJ31139	6	5	5	1	4	7
FLJ31153	37	28	271	38	45	22
FLJ31164	0	0	0	1	0	0
FLJ31166	7	7	2	1	0	8
FLJ31196	1	0	23	0	0	0
FLJ31204	0	0	0	0	1	0
FLJ31265	55	64	309	167	191	77
FLJ31295	0	0	1	0	1	5
FLJ31300	0	0	0	1	0	0
FLJ31306	91	49	47	62	198	208
FLJ31322	10	1	7	41	4	5
FLJ31340	0	0	0	14	0	4
FLJ31401	130	89	281	619	509	141
FLJ31413	37	46	51	138	93	31
FLJ31434	34	12	33	26	85	18
FLJ31438	10	7	40	32	29	15
FLJ31461	0	0	7	0	0	12
FLJ31514	0	0	1	7	0	5
FLJ31606	17	12	50	48	52	51
FLJ31659	3	3	2	0	20	7
FLJ31713	1	0	0	0	0	0
FLJ31795	47	79	178	28	156	51
FLJ31818	45	18	30	83	89	43
FLJ31842	1	3	178	62	0	31
FLJ31846	5	2	4	11	0	1
FLJ31875	8	12	13	4	9	23
FLJ31951	164	207	288	588	321	196
FLJ31952	0	1	4	6	18	6
FLJ31958	4	2	2	0	0	0
FLJ31978	0	0	0	3	5	0
FLJ32000	1	0	0	0	0	0
FLJ32001	2	6	7	0	6	3
FLJ32009	0	0	0	1	0	0
FLJ32028	1	1	89	31	8	1
FLJ32063	0	3	0	0	4	0
FLJ32065	100	193	563	509	429	106
FLJ32096	0	0	17	11	29	16
FLJ32112	13	9	36	0	4	25
FLJ32115	0	0	1	0	3	2
FLJ32130	18	8	12	9	9	8
FLJ32191	9	9	26	23	41	18
FLJ32224	2	2	19	5	19	5
FLJ32252	0	0	0	0	1	0
FLJ32312	12	2	28	48	37	27
FLJ32332	1	0	0	0	0	0
FLJ32356	5	4	4	0	3	1
FLJ32363	8	6	29	21	1	9
FLJ32370	5	1	20	12	16	5
FLJ32384	0	0	8	0	0	0
FLJ32421	1	0	5	0	3	0
FLJ32440	7	7	39	17	25	5
FLJ32452	0	0	1	1	7	0
FLJ32499	6	7	0	8	22	5
FLJ32549	2	1	17	7	0	1
FLJ32575	1	1	2	0	0	0
FLJ32642	8	1	36	14	8	10
FLJ32675	10	5	4	17	5	4
FLJ32685	0	1	0	0	0	0
FLJ32702	3	3	4	1	2	3
FLJ32731	37	9	89	110	111	56
FLJ32734	0	0	0	0	0	2
FLJ32745	17	35	30	78	53	42
FLJ32752	1	0	2	0	0	0
FLJ32771	9	4	12	7	0	12
FLJ32785	11	1	15	16	13	13
FLJ32786	2	4	0	5	0	1
FLJ32800	8	17	43	1	15	23
FLJ32810	6	3	1	0	0	4
FLJ32844	0	0	1	0	0	0
FLJ32894	1	0	3	0	0	0
FLJ32926	2	0	1	6	0	3
FLJ32934	6	6	79	3	27	2
FLJ32942	0	0	0	0	1	0
FLJ32949	3	1	15	2	3	8
FLJ32954	18	16	3	51	16	15
FLJ32955	6	1	5	0	0	1
FLJ33008	5	4	8	8	11	4
FLJ33065	1	0	3	0	0	0
FLJ33069	1	0	1	7	11	0
FLJ33084	0	0	3	0	6	0
FLJ33167	11	13	59	80	23	18
FLJ33318	2	0	0	0	0	4
FLJ33387	16	25	5	0	0	0
FLJ33534	4	2	0	0	0	0
FLJ33620	0	0	0	0	0	1
FLJ33641	2	0	0	1	0	0
FLJ33651	0	0	1	0	0	0
FLJ33674	31	13	11	0	5	17
FLJ33718	0	0	6	0	0	0
FLJ33790	1	0	0	0	13	7
FLJ33814	83	36	170	76	71	91
FLJ33817	2	1	4	17	4	18
FLJ33915	14	21	51	16	14	23
FLJ33977	7	7	13	23	48	40
FLJ33979	87	131	263	254	161	61
FLJ33996	2	1	10	10	12	0
FLJ34047	0	0	0	0	3	2
FLJ34048	1	1	5	2	4	24
FLJ34077	51	61	21	7	57	67
FLJ34208	8	7	21	51	6	48
FLJ34236	0	0	1	0	2	1
FLJ34283	14	5	49	52	51	73
FLJ34306	6	2	5	2	2	4
FLJ34433	11	10	26	16	63	35
FLJ34443	50	74	282	422	231	103
FLJ34512	28	7	12	1	17	5
FLJ34658	0	0	1	0	0	0
FLJ34790	0	0	4	0	0	0
FLJ34870	5	0	4	0	0	2
FLJ34922	0	0	1	581	139	7
FLJ34960	4	4	4	2	10	0
FLJ34969	34	17	92	40	51	24
FLJ35024	12	22	59	19	28	61
FLJ35036	2	2	12	2	1	5
FLJ35093	1	1	13	16	0	5
FLJ35107	0	0	0	5	0	2
FLJ35119	11	6	6	1	14	9
FLJ35155	97	71	241	240	289	228
FLJ35220	28	17	73	61	80	40
FLJ35258	4	1	0	2	0	5
FLJ35348	259	186	329	800	1430	457
FLJ35382	27	28	12	7	2	15
FLJ35390	35	9	49	3	7	11
FLJ35409	1	0	1	10	0	0
FLJ35429	0	3	12	2	0	0
FLJ35530	0	0	1	0	0	0
FLJ35630	12	3	36	9	41	9
FLJ35681	1	2	4	0	0	2
FLJ35696	605	738	1972	682	3011	1781
FLJ35725	7	2	19	18	16	6
FLJ35740	0	1	2	0	31	3
FLJ35757	2	2	5	0	0	1
FLJ35779	32	32	168	78	130	17
FLJ35784	1	0	0	0	0	0
FLJ35794	0	0	5	9	0	7
FLJ35801	9	8	12	58	157	43
FLJ35834	0	0	1	0	0	5
FLJ35848	4	8	14	0	0	15
